codigo,descripcion,id_grupo_cie10,tipo,eliminado
A00,COLERA,1,MORBILIDAD,0
A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",1,MORBILIDAD,0
A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",1,MORBILIDAD,0
A00.9,"COLERA, NO ESPECIFICADO",1,MORBILIDAD,0
A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,1,MORBILIDAD,0
A01.0,FIEBRE TIFOIDEA,1,MORBILIDAD,0
A01.1,FIEBRE PARATIFOIDEA A,1,MORBILIDAD,0
A01.2,FIEBRE PARATIFOIDEA B,1,MORBILIDAD,0
A01.3,FIEBRE PARATIFOIDEA C,1,MORBILIDAD,0
A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",1,MORBILIDAD,0
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,1,MORBILIDAD,0
A02.0,ENTERITIS DEBIDA A SALMONELLA,1,MORBILIDAD,0
A02.1,SEPTICEMIA DEBIDA A SALMONELLA,1,MORBILIDAD,0
A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,1,MORBILIDAD,0
A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,1,MORBILIDAD,0
A02.9,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",1,MORBILIDAD,0
A03,SHIGELOSIS,1,MORBILIDAD,0
A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,1,MORBILIDAD,0
A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,1,MORBILIDAD,0
A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,1,MORBILIDAD,0
A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,1,MORBILIDAD,0
A03.8,OTRAS SHIGELOSIS,1,MORBILIDAD,0
A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,1,MORBILIDAD,0
A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,1,MORBILIDAD,0
A04.0,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,1,MORBILIDAD,0
A04.1,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,1,MORBILIDAD,0
A04.2,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,1,MORBILIDAD,0
A04.3,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,1,MORBILIDAD,0
A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,1,MORBILIDAD,0
A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,1,MORBILIDAD,0
A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,1,MORBILIDAD,0
A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,1,MORBILIDAD,0
A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,1,MORBILIDAD,0
